Group,Setup,Config_Path,Targets_Found
exp_cerebellum,setup_0,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_0/config.yaml,mito
exp_cerebellum,setup_1,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_1/config.yaml,mito
exp_cerebellum,setup_11,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_11/config.yaml,nuc
exp_cerebellum,setup_2,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_2/config.yaml,mito
exp_cerebellum,setup_3,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_3/config.yaml,mito
exp_cerebellum,setup_4,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_4/config.yaml,mito
exp_cerebellum,setup_5,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_5/config.yaml,mito
exp_cerebellum,setup_6,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_6/config.yaml,nuc
exp_pancreas,setup_07,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_07/config.yaml,mito
exp_pancreas,setup_08,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_08/config.yaml,mito
exp_pancreas,setup_09,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_09/config.yaml,nuc
exp_pancreas,setup_10,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_10/config.yaml,nuc
exp_pancreas,setup_12,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_12/config.yaml,isg+ld+lyso+mito
exp_pancreas,setup_13,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_13/config.yaml,isg
exp_pancreas,setup_14,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_14/config.yaml,isg+ld+lyso
exp_cell,setup_20,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_20/config.yaml,cell
exp_cell,setup_21,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_21/config.yaml,cell
exp_cell,setup_22,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_22/config.yaml,cell
exp_cell,setup_23,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_23/config.yaml,cell
exp_cell,setup_24,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_24/config.yaml,cell
exp_cell,setup_33,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_33/config.yaml,cell
exp_cell,setup_34,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_34/config.yaml,cell
exp_mito,setup_15,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_15/config.yaml,mito
exp_mito,setup_16,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_16/config.yaml,mito
exp_mito,setup_17,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_17/config.yaml,mito
exp_mito,setup_18,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_18/config.yaml,mito
exp_mito,setup_19,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_19/config.yaml,mito
exp_c-elegen_v4,setup_25,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_25/config.yaml,ld+lyso+mito+nuc+perox+yolk
exp_c-elegen_v4,setup_26,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_26/config.yaml,ld+lyso+mito+nuc+perox+yolk
exp_c-elegen_v4,setup_27,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_27/config.yaml,ld+lyso+mito+nuc+yolk
exp_c-elegen_v4,setup_28,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_28/config.yaml,ld+lyso+mito+nuc+yolk
exp_c-elegen_v4,setup_29,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_29/config.yaml,er
exp_c-elegen_v4,setup_31,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_31/config.yaml,ecs
exp_c-elegen_v4,setup_32,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_32/config.yaml,ecs
