Group,Setup,Targets_Found,Max_Iterations_Found,Creation_Date_Found,Setup_Path
exp_cerebellum,setup_0,mito,510000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_0
exp_cerebellum,setup_1,mito,500000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_1
exp_cerebellum,setup_11,nuc,480000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_11
exp_cerebellum,setup_2,mito,500000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_2
exp_cerebellum,setup_3,mito,500000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_3
exp_cerebellum,setup_4,mito,500000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_4
exp_cerebellum,setup_5,mito,500000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_5
exp_cerebellum,setup_6,nuc,490000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_cerebellum/runs/setup_6
exp_pancreas,setup_07,mito,490000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_07
exp_pancreas,setup_08,mito,490000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_08
exp_pancreas,setup_09,nuc,500000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_09
exp_pancreas,setup_10,nuc,490000,2025-08-27,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_10
exp_pancreas,setup_12,isg+ld+lyso+mito,420000,2025-09-03,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_12
exp_pancreas,setup_13,isg,430000,2025-09-03,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_13
exp_pancreas,setup_14,isg+ld+lyso,420000,2025-09-03,/groups/cellmap/cellmap/zouinkhim/exp_pancreas/runs/setup_14
exp_cell,setup_20,cell,100000,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_20
exp_cell,setup_21,cell,50000,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_21
exp_cell,setup_22,cell,50000,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_22
exp_cell,setup_23,cell,50000,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_23
exp_cell,setup_24,cell,50000,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_24
exp_cell,setup_33,cell,N/A,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_33
exp_cell,setup_34,cell,N/A,2025-09-19,/groups/cellmap/cellmap/zouinkhim/exp_cell/runs/setup_34
exp_mito,setup_15,mito,410000,2025-08-06,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_15
exp_mito,setup_16,mito,330000,2025-09-14,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_16
exp_mito,setup_17,mito,270000,2025-09-14,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_17
exp_mito,setup_18,mito,210000,2025-09-14,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_18
exp_mito,setup_19,mito,310000,2025-09-14,/groups/cellmap/cellmap/zouinkhim/exp_salivary/runs/setup_19
exp_c-elegen_v4,setup_25,ld+lyso+mito+nuc+perox+yolk,160000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_25
exp_c-elegen_v4,setup_26,ld+lyso+mito+nuc+perox+yolk,170000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_26
exp_c-elegen_v4,setup_27,ld+lyso+mito+nuc+yolk,150000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_27
exp_c-elegen_v4,setup_28,ld+lyso+mito+nuc+yolk,160000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_28
exp_c-elegen_v4,setup_29,er,180000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_29
exp_c-elegen_v4,setup_31,ecs,180000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_31
exp_c-elegen_v4,setup_32,ecs,190000,,/groups/cellmap/cellmap/zouinkhim/exp_c-elegen/v4/train/runs/setup_32
