Group,Setup,Target,Model Type,Starting Checkpoint,Max Iterations,Resolution (nm),Batch Size,Learning Rate,Creation Date,Still Running,LSD,Trained Until,Datasets Used
exp_cell,setup_20,cell,isolated_unet,config_2/278361,220000,8,14,5e-05,2025-10-14,YES,YES,2025-10-10,jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 10; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 26; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 34; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 12; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_21,cell,fly model,config_2/278361,120000,16,10,5e-05,2025-10-14,YES,YES,2025-10-09,jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 10; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 22; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 34; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 12; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_22,cell,fly model,config_2/278361,120000,32,10,5e-05,2025-10-14,YES,YES,2025-10-10,jrc_22ak351-leaf-2lb: 1; jrc_22ak351-leaf-3mb: 1; jrc_22ak351-leaf-3rb: 1; jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 2; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 9; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 17; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 29; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 10; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_23,cell,fly model,config_2/278361,120000,64,10,5e-05,2025-10-14,YES,YES,2025-10-10,jrc_22ak351-leaf-2lb: 1; jrc_22ak351-leaf-3mb: 1; jrc_22ak351-leaf-3rb: 1; jrc_atla24-b9-2: 1; jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-bw-1: 1; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_fly-vnc-1: 1; jrc_hela-2: 1; jrc_mus-cerebellum-1: 3; jrc_mus-kidney: 9; jrc_mus-liver: 21; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_24,cell,fly model,config_2/278361,120000,128,10,5e-05,2025-10-14,YES,YES,2025-10-10,jrc_22ak351-leaf-2lb: 1; jrc_22ak351-leaf-3mb: 1; jrc_22ak351-leaf-3r: 1; jrc_22ak351-leaf-3rb: 1; jrc_atla24-b9-2: 1; jrc_c-elegans-bw-1: 1; jrc_c-elegans-comma-1: 8; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_mus-kidney: 2; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-salivary-1: 1
exp_cell,setup_33,cell,fly model,run07/432000k,530000,8,14,5e-06,2025-10-16,YES,YES,2025-10-16,jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 10; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 26; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 34; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 12; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_35,cell,fly model,run07/432000k,240000,8,14,5e-05,2025-10-14,YES,YES,2025-10-13,jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 10; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 26; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 34; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 12; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_36,cell,fly model,run07/432000k,310000,16,14,5e-05,2025-10-16,YES,YES,2025-10-16,jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 10; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 22; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 34; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 12; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_37,cell,fly model,run07/432000k,310000,32,14,5e-05,2025-10-16,YES,YES,2025-10-16,jrc_22ak351-leaf-2lb: 1; jrc_22ak351-leaf-3mb: 1; jrc_22ak351-leaf-3rb: 1; jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 2; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_cos7-1a: 10; jrc_cos7-1b: 9; jrc_ctl-id8-1: 5; jrc_fly-mb-1a: 6; jrc_fly-vnc-1: 6; jrc_hela-2: 17; jrc_hela-3: 17; jrc_jurkat-1: 20; jrc_macrophage-2: 18; jrc_mus-cerebellum-1: 3; jrc_mus-cortex-3: 7; jrc_mus-kidney: 24; jrc_mus-liver: 29; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-1: 10; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
exp_cell,setup_38,cell,fly model,run07/432000k,290000,64,14,5e-05,2025-10-16,YES,YES,2025-10-16,jrc_22ak351-leaf-2lb: 1; jrc_22ak351-leaf-3mb: 1; jrc_22ak351-leaf-3rb: 1; jrc_atla24-b9-2: 1; jrc_c-elegans-P3_E5_D1_N2: 5; jrc_c-elegans-bw-1: 1; jrc_c-elegans-comma-1: 10; jrc_c-elegans-op50-1: 1; jrc_celegans-20250414: 5; jrc_celegans_bw25113: 5; jrc_fly-vnc-1: 1; jrc_hela-2: 1; jrc_mus-cerebellum-1: 3; jrc_mus-kidney: 9; jrc_mus-liver: 21; jrc_mus-liver-6: 1; jrc_mus-liver-7: 1; jrc_mus-liver-zon-1: 24; jrc_mus-liver-zon-2: 8; jrc_mus-nacc-1: 1; jrc_mus-pancreas-6: 1; jrc_mus-salivary-1: 2; jrc_sum159-4: 17; jrc_ut21-1413-003: 18
