Group,Setup,Target,Model Type,Starting Checkpoint,Max Iterations,Resolution (nm),Batch Size,Learning Rate,Creation Date,Still Running
exp_c-elegen_v2,train_fly_model,various,fly model,from scratch,,,,,NO,
exp_c-elegen_v3,20250725_mito_all_mixed_distance_16nm,mito,fly model,from scratch,80000,16,,2025-07-25,NO,
exp_c-elegen_v3,20250725_mito_all_distance_16nm,mito,fly model,from scratch,80000+,16,,2025-07-25,NO,
exp_c-elegen_v3,20250725_nuc_all_mixed_distance_32nm,nucleus,fly model,from scratch,80000+,32,,2025-07-25,NO,
exp_c-elegen_v3,20250806_mito_mouse_distance_16nm,mito,fly model,from scratch,568000+,16,,2025-08-06,NO,
exp_c-elegen_v3,20250806_nuc_mouse_distance_32nm,nucleus,fly model,from scratch,342000+,32,,2025-08-06,NO,
exp_c-elegen_v3,[+80 more organelle runs],various,fly model,from scratch,varies,16-64,,2025-07-25/08-06,NO,
exp_cerebellum,setup_0,mito,fly model,20250725_mito_all_mixed_distance_16nm/568k,510000,16,14.0,5.0e-06,2025-08-27,NO
exp_cerebellum,setup_1,mito,fly model,20250725_mito_all_mixed_distance_16nm/80k,500000,16,14.0,5.0e-06,2025-08-27,NO
exp_cerebellum,setup_2,mito,fly model,20250725_mito_all_mixed_distance_16nm/568k,500000,16,14.0,5.0e-06,2025-08-27,NO
exp_cerebellum,setup_3,mito,fly model,20250725_mito_all_mixed_distance_16nm/80k,500000,16,14.0,5.0e-06,2025-08-27,NO
exp_cerebellum,setup_4,mito,fly model,20250725_mito_all_mixed_distance_16nm/568k,500000,16,14.0,5.0e-06,2025-08-28,NO
exp_cerebellum,setup_5,mito,fly model,20250725_mito_all_mixed_distance_16nm/80k,500000,16,14.0,5.0e-06,2025-08-30,NO
exp_cerebellum,setup_6,nuc,fly model,20250725_nuc_all_mixed_distance_32nm/80k,490000,16,14.0,5.0e-06,2025-08-30,NO
exp_pancreas,setup_07,mito,fly model,20250806_mito_mouse_distance_16nm/362k,490000,16,14.0,5.0e-06,2025-09-23,NO
exp_pancreas,setup_08,mito,fly model,20250725_mito_all_mixed_distance_16nm/568k,490000,16,14.0,5.0e-06,2025-09-23,NO
exp_pancreas,setup_09,nuc,fly model,20250806_nuc_mouse_distance_32nm/342k,500000,16,14.0,5.0e-06,2025-09-23,NO
exp_pancreas,setup_10,nuc,fly model,20250806_nuc_mouse_distance_32nm/342k,490000,16,14.0,5.0e-06,2025-09-23,NO
exp_cerebellum,setup_11,nuc,fly model,20250725_nuc_all_mixed_distance_32nm/80k,480000,16,14.0,5.0e-06,2025-09-24,NO
exp_pancreas,setup_12,isg+ld+lyso+mito,fly model,20250711_isg_ld_all_1/244k,420000,16,14.0,5.0e-06,2025-09-03,NO
exp_pancreas,setup_13,isg,fly model,20250711_isg_ld_all_1/244k,430000,16,14.0,5.0e-06,2025-09-03,NO
exp_pancreas,setup_14,isg+ld+lyso,fly model,20250711_isg_ld_all_1/244k,420000,16,14.0,5.0e-06,2025-09-03,NO
exp_mito,setup_15,mito,fly model,20250806_mito_mouse_distance_16nm/362k,410000,16,14.0,5.0e-05,2025-09-14,YES
exp_mito,setup_16,mito,fly model,setup_15/80k,330000,16,14.0,5.0e-05,2025-09-14,YES
exp_mito,setup_17,mito,fly model,setup_16/30k,270000,16,14.0,5.0e-05,2025-09-14,YES
exp_mito,setup_18,mito,fly model,20250725_mito_all_mixed_distance_16nm/372k,210000,16,14.0,5.0e-05,2025-09-14,YES
exp_mito,setup_19,mito,fly model,20250725_mito_all_mixed_distance_16nm/372k,310000,16,14.0,5.0e-05,2025-09-14,YES
exp_cell,setup_20,cell,isolated_unet,config_2/278361,100000,8,14.0,5.0e-05,2025-09-29,YES
exp_cell,setup_21,cell,isolated_unet,config_2/278361,50000,16,10.0,5.0e-05,2025-09-28,YES
exp_cell,setup_22,cell,isolated_unet,config_2/278361,50000,32,10.0,5.0e-05,2025-09-28,YES
exp_cell,setup_23,cell,isolated_unet,config_2/278361,50000,64,10.0,5.0e-05,2025-09-28,YES
exp_cell,setup_24,cell,isolated_unet,config_2/278361,50000,128,10.0,5.0e-05,2025-09-28,YES
exp_c-elegen_v4,setup_25,ld+lyso+mito+nuc+perox+yolk,fly model,run07/432k,160000,8,,2025-09-29,YES,
exp_c-elegen_v4,setup_26,ld+lyso+mito+nuc+perox+yolk,fly model,run07/432k,170000,16,,2025-09-29,YES,
exp_c-elegen_v4,setup_27,ld+lyso+mito+nuc+yolk,fly model,run07/432k,150000,8,,2025-09-29,YES,
exp_c-elegen_v4,setup_28,ld+lyso+mito+nuc+yolk,fly model,run07/432k,160000,16,,2025-09-29,YES,
exp_c-elegen_v4,setup_29,er,fly model,run07/432k,180000,8,,2025-09-29,YES,
exp_c-elegen_v4,setup_31,ecs,fly model,run07/432k,180000,8,,2025-09-29,YES,
exp_c-elegen_v4,setup_32,ecs,fly model,run07/432k,190000,16,,2025-09-29,YES,
exp_cell,setup_33,cell,isolated_unet,run07/432k,,8,14.0,5.0e-06,2025-09-29,YES
exp_cell,setup_34,cell,isolated_unet,run07/432k,,64,14.0,5.0e-06,2025-09-29,NO
